,instance,nodes,result,status,time
0,RC107-25,25,311.7,FEASIBLE_SOLUTION,200.1
1,RC206-25,25,430.3,FEASIBLE_SOLUTION,200.1
2,R103-25,25,562.4,FEASIBLE_SOLUTION,200.1
3,R205-25,25,393.0,FEASIBLE_SOLUTION,200.1
4,R107-25,25,DNF,UNKNOWN,200.1
5,RC101-25,25,461.1,OPTIMAL_SOLUTION,83.62
6,RC202-25,25,379.0,FEASIBLE_SOLUTION,200.1
7,R111-25,25,502.5,FEASIBLE_SOLUTION,200.1
8,C205-25,25,214.7,OPTIMAL_SOLUTION,8.64
9,RC102-25,25,356.5,FEASIBLE_SOLUTION,200.1
10,C207-25,25,235.4,FEASIBLE_SOLUTION,200.1
11,RC204-25,25,366.8,FEASIBLE_SOLUTION,200.1
12,RC201-25,25,360.2,OPTIMAL_SOLUTION,8.674
13,R206-25,25,497.9,FEASIBLE_SOLUTION,200.1
14,C104-25,25,450.4,FEASIBLE_SOLUTION,200.1
15,RC208-25,25,366.6,FEASIBLE_SOLUTION,200.1
16,RC105-25,25,422.7,FEASIBLE_SOLUTION,200.1
17,RC104-25,25,352.7,FEASIBLE_SOLUTION,200.1
18,R112-25,25,549.7,FEASIBLE_SOLUTION,200.1
19,C102-25,25,191.1,FEASIBLE_SOLUTION,200.2
20,R101-25,25,617.1,OPTIMAL_SOLUTION,0.7259
21,R202-25,25,451.7,FEASIBLE_SOLUTION,200.1
22,R106-25,25,523.7,FEASIBLE_SOLUTION,200.1
23,R108-25,25,587.0,FEASIBLE_SOLUTION,200.1
24,RC108-25,25,345.9,FEASIBLE_SOLUTION,200.1
25,RC106-25,25,346.2,FEASIBLE_SOLUTION,200.1
26,C101-25,25,191.3,OPTIMAL_SOLUTION,1.002
27,R207-25,25,430.8,FEASIBLE_SOLUTION,200.1
28,R109-25,25,452.2,FEASIBLE_SOLUTION,200.1
29,R110-25,25,540.6,FEASIBLE_SOLUTION,200.1
30,R208-25,25,410.1,FEASIBLE_SOLUTION,200.1
31,C103-25,25,260.0,FEASIBLE_SOLUTION,200.1
32,R104-25,25,547.8,FEASIBLE_SOLUTION,200.1
33,R211-25,25,455.5,FEASIBLE_SOLUTION,200.1
34,C208-25,25,217.6,FEASIBLE_SOLUTION,200.1
35,C203-25,25,258.2,FEASIBLE_SOLUTION,200.1
36,R102-25,25,553.9,FEASIBLE_SOLUTION,200.1
37,RC203-25,25,424.6,FEASIBLE_SOLUTION,200.1
38,C202-25,25,219.7,FEASIBLE_SOLUTION,200.1
39,R105-25,25,530.5,OPTIMAL_SOLUTION,30.79
40,C109-25,25,269.4,FEASIBLE_SOLUTION,200.1
41,R210-25,25,512.8,FEASIBLE_SOLUTION,200.1
42,C107-25,25,191.3,OPTIMAL_SOLUTION,4.482
43,C106-25,25,191.3,OPTIMAL_SOLUTION,0.9056
44,RC207-25,25,303.4,FEASIBLE_SOLUTION,200.1
45,C108-25,25,191.3,FEASIBLE_SOLUTION,200.1
46,RC205-25,25,340.0,FEASIBLE_SOLUTION,200.1
47,C201-25,25,214.7,OPTIMAL_SOLUTION,0.6601
48,RC103-25,25,345.4,FEASIBLE_SOLUTION,200.1
49,C206-25,25,214.7,FEASIBLE_SOLUTION,200.1
50,R204-25,25,483.9,FEASIBLE_SOLUTION,200.1
51,R201-25,25,463.3,FEASIBLE_SOLUTION,200.1
52,R209-25,25,461.1,FEASIBLE_SOLUTION,200.1
53,C204-25,25,395.0,FEASIBLE_SOLUTION,200.1
54,C105-25,25,191.3,OPTIMAL_SOLUTION,2.43
55,R203-25,25,530.7,FEASIBLE_SOLUTION,200.1
